Name,Male,Male2,Female,Main
Абакум,Абакумович,, Абакумівна,
Абрам,Абрамович,, Абрамівна,Аврам
Авакум,Авакумович,, Авакумівна,Абакум
Августин,Августинович,, Августинівна,
Август,Августович,, Августівна,
Авенір,Авенірович,, Авенірівна,
Аверкій,Аверкійович,, Аверкіївна,Оверкій
Авер'ян,Авер'янович,, Авер'янівна,Овер'ян
Авксентій,Авксентійович,, Авксентіївна,Оксентій
Аврам,Аврамович,, Аврамівна,
Автоном,Автономович,, Автономівна,
Агапій,Агапійович,, Агапіївна,
Агапіт,Агапітович,, Агапітівна,
Агапон,Агапонович,, Агапонівна,Агафон
Агатангел,Агатангелович,, Агатангелівна,
Агафангел,Агафангелович,, Агафангелівна,Агатангел
Агафоник,Агафоникович,, Агафониківна,
Агафон,Агафонович,, Агафонівна,
Адам,Адамович,, Адамівна,
Адольф,Адольфович,, Адольфівна,
Адріан,Адріанович,, Адріанівна,
Азарій,Азарійович,, Азаріївна,Азар
Азар,Азарович,, Азарівна,
Алім,Алімович,, Алімівна,
Альберт,Альбертович,, Альбертівна,
Альбін,Альбінович,, Альбінівна,
Альвіан,Альвіанович,, Альвіанівна,
Альвіян,Альвіянович,, Альвіянівна,
Альфонс,Альфонсович,, Альфонсівна,
Альфред,Альфредович,, Альфредівна,
Амбрось,Амбросьович,, Амбросівна,Амвросій
Амбросій,Амбросійович,, Амбросіївна,Амвросій
Амвросій,Амвросійович,, Амвросіївна,
Амос,Амосович,, Амосівна,
Амфілохій,Амфілохійович,, Амфілохіївна,
Анадій,Анадійович,, Анадіївна,
Ананій,Ананійович,, Ананіївна,
Анань,Ананьович,, Ананівна,Ананій
Анастасій,Анастасійович,, Анастасіївна,Анастас
Анастас,Анастасович,, Анастасівна,
Анатолій,Анатолійович,, Анатоліївна,
Анатоль,Анатольович,, Анатолівна,Анатолій
Андріан,Андріанович,, Андріанівна,Адріан
Андрій,Андрійович,, Андріївна,
Андріян,Андріянович,, Андріянівна,Адріан
Андроник,Андроникович,, Андрониківна,
Андрон,Андронович,, Андронівна,Андроник
Аникита,Аникитович,, Аникитівна,
Аникій,Аникійович,, Аникіївна,Оникій
Антип,Антипович,, Антипівна,
Антоній,Антонійович,, Антоніївна,Антон
Антонін,Антонінович,, Антонінівна,
Антон,Антонович,, Антонівна,
Аполлінарій,Аполлінарійович,, Аполлінаріївна,
Аполлон,Аполлонович,, Аполлонівна,
Ардаліон,Ардаліонович,, Ардаліонівна,
Аристарх,Аристархович,, Аристархівна,
Аристид,Аристидович,, Аристидівна,
Аркадій,Аркадійович,, Аркадіївна,
Арнольд,Арнольдович,, Арнольдівна,
Арсеній,Арсенійович,, Арсеніївна,Арсен
Арсен,Арсенович,, Арсенівна,
Арсентій,Арсентійович,, Арсентіївна,Арсен
Арсень,Арсеньович,,Арсенівна,Арсен
Артемій,Артемійович,, Артеміївна,Артем
Артем,Артемович,, Артемівна,
Артемон,Артемонович,, Артемонівна,
Артур,Артурович,, Артурівна,
Архип,Архипович,, Архипівна,
Аскольд,Аскольдович,, Аскольдівна,
Атанасій,Атанасійович,, Атанасіївна,Панас
Атанас,Атанасович,, Атанасівна,Панас
Афанасій,Афанасійович,, Афанасіївна,Панас
Афіноген,Афіногенович,, Афіногенівна,
Афоній,Афонійович,, Афоніївна,Афон
Афон,Афонович,, Афонівна,
Африкан,Африканович,, Африканівна,
Ахіллій,Ахіллійович,, Ахілліївна,
Ахіл,Ахілович,, Ахілівна,Ахіллій
Бартоломій,Бартоломійович,, Бартоломіївна,Варфоломій
Бенедикт,Бенедиктович,, Бенедиктівна,Венедикт
Богдан,Богданович,, Богданівна,
Богуслав,Богуславович,, Богуславівна,
Болеслав,Болеславович,, Болеславівна,
Борислав,Бориславович,, Бориславівна,
Борис,Борисович,, Борисівна,
Броніслав,Броніславович,, Броніславівна,
Вавило,Вавилович,, Вавилівна,
Вадим,Вадимович,, Вадимівна,
Вакула,Вакулович,, Вакулівна,
Валентин,Валентинович,, Валентинівна,
Валентій,Валентійович,, Валентіївна,
Валент,Валентович,, Валентівна,Валентій
Валеріан,Валеріанович,, Валеріанівна,Валер'ян
Валерій,Валерійович,, Валеріївна,
Валер'ян,Валер'янович,, Валер'янівна,
Вальдемар,Вальдемарович,, Вальдемарівна,
Варлам,Варламович,, Варламівна,
Варлампій,Варлампійович,, Варлампіївна,
Варфоломій,Варфоломійович,, Варфоломіївна,
Василь,Васильович,, Василівна,
Вацлав,Вацлавович,, Вацлавівна,
Венедикт,Венедиктович,, Венедиктівна,
Веніамін,Веніамінович,, Веніамінівна,
Веремій,Веремійович,, Вереміївна,Ярема
Вікентій,Вікентійович,, Вікентіївна,Вікент
Вікент,Вікентович,, Вікентівна,
Вікторин,Вікторинович,, Вікторинівна,
Віктор,Вікторович,, Вікторівна,
Віленін,Віленінович,, Віленінівна,
Вілен,Віленович,, Віленівна,
Вілорій,Вілорійович,, Вілоріївна,
Вілор,Вілорович,, Вілорівна,Вілорій
Вільгельм,Вільгельмович,, Вільгельмівна,
Віль,Вільович,, Вілівна,
Вірослав,Вірославович,, Вірославівна,
Віссаріон,Віссаріонович,, Віссаріонівна,
Віталій,Віталійович,, Віталіївна,
Вітольд,Вітольдович,, Вітольдівна,
Владилен,Владиленович,, Владиленівна,
Владислав,Владиславович,, Владиславівна,
Владлен,Владленович,, Владленівна,
Власій,Власійович,, Власіївна,Влас
Влас,Власович,, Власівна,
Володимир,Володимирович,, Володимирівна,
Володислав,Володиславович,, Володиславівна,Владислав
Всеволод,Всеволодович,, Всеволодівна,
Всеслав,Всеславович,, Всеславівна,
В'ячеслав,В'ячеславович,, В'ячеславівна,
Гаврило,Гаврилович,, Гаврилівна,
Галактіон,Галактіонович,, Галактіонівна,
Гарасим,Гарасимович,, Гарасимівна,
Гедеон,Гедеонович,, Гедеонівна,
Гедимін,Гедимінович,, Гедимінівна,
Гелій,Гелійович,, Геліївна,
Геннадій,Геннадійович,, Геннадіївна,
Генріх,Генріхович,, Генріхівна,
Георгій,Георгійович,, Георгіївна,
Гераклій,Гераклійович,, Геракліївна,
Геракл,Гераклович,, Гераклівна,Гераклій
Герасим,Герасимович,, Герасимівна,Гарасим
Гервасій,Гервасійович,, Гервасіївна,
Герман,Германович,, Германівна,
Гліб,Глібович,, Глібівна,
Гнат,Гнатович,, Гнатівна,
Гонорій,Гонорійович,, Гоноріївна,
Гордій,Гордійович,, Гордіївна,
Гостомисл,Гостомислович,, Гостомислівна,
Григорій,Григорійович,, Григоріївна,
Григор,Григорович,, Григорівна,Григорій
Гурій,Гурійович,, Гуріївна,
Густав,Густавович,, Густавівна,
Давид,Давидович,, Давидівна,
Данило,Данилович,, Данилівна,
Дарій,Дарійович,, Даріївна,
Дементій,Дементійович,, Дементіївна,
Демид,Демидович,, Демидівна,
Дем'ян,Дем'янович,, Дем'янівна,
Денис,Денисович,, Денисівна,
Дмитро,Дмитрович,, Дмитрівна,
Добромисл,Добромислович,, Добромислівна,
Доброслав,Доброславович,, Доброславівна,
Донат,Донатович,, Донатівна,
Дорій,Дорійович,, Доріївна,
Дорофій,Дорофійович,, Дорофіївна,
Дорош,Дорошович,, Дорошівна,Дорофій
Едмунд,Едмундович,, Едмундівна,
Едуард,Едуардович,, Едуардівна,
Еммануїл,Еммануїлович,, Еммануїлівна,
Еміль,Емільович,, Емілівна,
Еразм,Еразмович,, Еразмівна,
Ераст,Ерастович,, Ерастівна,
Ернест,Ернестович,, Ернестівна,Ернст
Ернст,Ернстович,, Ернстівна,
Євгеній,Євгенійович,, Євгеніївна,Євген
Євген,Євгенович,, Євгенівна,
Євграф,Євграфович,, Євграфівна,
Євдоким,Євдокимович,, Євдокимівна,
Євлампій,Євлампійович,, Євлампіївна,
Євмен,Євменович,, Євменівна,
Євсевій,Євсевійович,, Євсевіївна,Овсій
Євстафій,Євстафійович,, Євстафіївна,Остап
Євстахій,Євстахійович,, Євстахіївна,Остап
Євстигній,Євстигнійович,, Євстигніївна,
Євстрат,Євстратович,, Євстратівна,
Євтихій,Євтихійович,, Євтихіївна,
Єгор,Єгорович,, Єгорівна,
Єлеазар,Єлеазарович,, Єлеазарівна,Єлизар
Єлизар,Єлизарович,, Єлизарівна,
Єлисей,Єлисейович,, Єлисеївна,
Єпіфан,Єпіфанович,, Єпіфанівна,
Єремія,Єремійович,, Єреміївна,Ярема
Єрмил,Єрмилович,, Єрмилівна,
Єрмолай,Єрмолайович,, Єрмолаївна,
Єрофей,Єрофейович,, Єрофеївна,Єрофій
Єрофій,Єрофійович,, Єрофіївна,
Єфим,Єфимович,, Єфимівна,Юхим
Єфрем,Єфремович,, Єфремівна,Охрім
Єфросин,Єфросинович,, Єфросинівна,
Захарій,Захарійович,, Захаріївна,Захар
Захар,Захарович,, Захарівна,
Зенон,Зенонович,, Зенонівна,
Зигмунд,Зигмундович,, Зигмундівна,
Зигфрід,Зигфрідович,, Зигфрідівна,
Зиновій,Зиновійович,, Зиновіївна,Зіновій
Зіновій,Зіновійович,, Зіновіївна,
Зорян,Зорянович,, Зорянівна,
Зосим,Зосимович,, Зосимівна,
Зотик,Зотикович,, Зотиківна,
Зот,Зотович,, Зотівна,
Іван,Іванович,, Іванівна,
Ігнатій,Ігнатійович,, Ігнатіївна,Гнат
Ігнат,Ігнатович,, Ігнатівна,Гнат
Ігор,Ігоревич,, Ігорівна,
Ієронім,Ієронімович,, Ієронімівна,
Ізмаїл,Ізмаїлович,, Ізмаїлівна,
Ізот,Ізотович,, Ізотівна,
Ізраїль,Ізраїлевич,, Ізраїлівна,
Іларіон,Іларіонович,, Іларіонівна,
Іліан,Іліанович,, Іліанівна,
Іліодор,Іліодорович,, Іліодорівна,
Ілірик,Ілірикович,, Іліриківна,
Ілля,Ілліч,, Іллівна,
Ілько,Ількович,, Ільківна,Ілля
Інокентій,Інокентійович,, Інокентіївна,
Іов,Іовович,, Іовівна,
Іона,Іонович,, Іонівна,
Іпатій,Іпатійович,, Іпатіївна,Іпат
Іпат,Іпатович,, Іпатівна,
Іполит,Іполитович,, Іполитівна,
Іраклій,Іраклійович,, Іракліївна,
Іриній,Іринійович,, Іриніївна,
Ісав,Ісавович,, Ісавівна,
Ісай,Ісайович,, Ісаївна,
Ісак,Ісакович,, Ісаківна,
Йов,Йовович,, Йовівна,Іов
Йона,Йонович,, Йонівна,Іона
Йосип,Йосипович,, Йосипівна,
Казимир,Казимирович,, Казимирівна,
Каленик,Каленикович,, Калениківна,
Калістрат,Калістратович,, Калістратівна,
Капітон,Капітонович,, Капітонівна,
Карл,Карлович,, Карлівна,
Карло,Карлович,, Карлівна,Карл
Карпо,Карпович,, Карпівна,
Касян,Касянович,, Касянівна,
Квінтиліан,Квінтиліанович,, Квінтиліанівна,
Кесар,Кесаревич,, Кесарівна,
Кирей,Кирейович,, Киреївна,
Кирик,Кирикович,, Кириківна,
Кирило,Кирилович,, Кирилівна,
Кир,Кирович,, Кирівна,
Кім,Кімович,, Кімівна,
Кіндрат,Кіндратович,, Кіндратівна,
Клавдій,Клавдійович,, Клавдіївна,
Климентій,Климентійович,, Климентіївна,Климент
Климент,Климентович,, Климентівна,
Клим,Климович,, Климівна,
Конон,Кононович,, Кононівна,
Конрад,Конрадович,, Конрадівна,
Корнелій,Корнелійович,, Корнеліївна,
Корнилій,Корнилійович,, Корниліївна,Корнило
Корнило,Корнилович,Корнілович, Корнилівна,
Корній,Корнійович,, Корніївна,
Кость,Костьович,, Костівна,Костянтин
Костянтин,Костянтинович,, Костянтинівна,
Ксаверій,Ксаверійович,, Ксаверіївна,
Ксенофонт,Ксенофонтович,, Ксенофонтівна,
Кузьма,Кузьмич,Кузьмович, Кузьмівна,
Купріян,Купріянович,, Купріянівна,
Лаврентій,Лаврентійович,, Лаврентіївна,
Лаврін,Лаврінович,, Лаврінівна,Лаврентій
Лавро,Лаврович,, Лаврівна,
Лазар,Лазарович,, Лазарівна,
Ларіон,Ларіонович,, Ларіонівна,Іларіон
Левко,Левкович,, Левківна,Лев
Лев,Львович,, Львівна,
Леонард,Леонардович,, Леонардівна,
Леонід,Леонідович,, Леонідівна,
Леон,Леонович,, Леонівна,
Леонтій,Леонтійович,, Леонтіївна,
Леонт,Леонтович,, Леонтівна,Леонтій
Леопольд,Леопольдович,, Леопольдівна,
Логвин,Логвинович,, Логвинівна,
Лукаш,Лукашевич,, Лукашівна,Лука
Лукій,Лукійович,, Лукіївна,
Лука,Лукич,, Луківна,
Лукіліан,Лукіліанович,, Лукіліанівна,
Лук'ян,Лук'янович,, Лук'янівна,
Любим,Любимович,, Любимівна,
Любомир,Любомирович,, Любомирівна,
Любомисл,Любомислович,, Любомислівна,
Людвіг,Людвігович,, Людвігівна,
Людомир,Людомирович,, Людомирівна,
Маврикій,Маврикійович,, Маврикіївна,
Мавр,Маврович,, Маврівна,Маврикій
Макар,Макарович,, Макарівна,
Македон,Македонович,, Македонівна,
Максиміан,Максиміанович,, Максиміанівна,
Максиміліан,Максиміліанович,, Максиміліанівна,
Максим,Максимович,,Максимівна,
Мануїл,Мануїлович,, Мануїлівна,
Мануйло,Мануйлович,, Мануйлівна,Мануїл
Марат,Маратович,, Маратівна,
Маріан,Маріанович,, Маріанівна,Мар'ян
Маркел,Маркелович,, Маркелівна,
Марко,Маркович,, Марківна,
Маркіян,Маркіянович,, Маркіянівна,
Мартиніан,Мартиніанович,, Мартиніанівна,
Мартин,Мартинович,, Мартинівна,
Мартьян,Мартьянович,, Мартьянівна,Мартиніан
Мар'ян,Мар'янович,, Мар'янівна,
